ID de l'activité,Date de l'activité,Nom de l'activité,Type d'activité,Description de l'activité,Temps écoulé,Distance,Fréquence cardiaque max.,Effort relatif,Déplacement-transport,Note privée sur les activités,Matériel utilisé pour l'activité,Nom du fichier,Poids de l'athlète,Poids du vélo,Temps écoulé,Durée de déplacement,Distance,Vitesse max.,Vitesse moyenne,Dénivelé positif,Dénivelé négatif,Altitude min.,Altitude max.,Pente max.,Pente moyenne,Pente positive moyenne,Pente négative moyenne,Cadence max.,Cadence moyenne,Fréquence cardiaque max.,Fréquence cardiaque moyenne,Puissance max.,Puissance moyenne,Calories,Température max.,Température moyenne,Effort relatif,Effort total,Nombre de sorties course à pied,Temps de montée,Temps de descente,Autres temps,Effort ressenti,Type,Heure de début,Puissance moyenne pondérée,Nombre d'échantillons de puissance,Utiliser l'Effort ressenti,Effort relatif ressenti,Déplacement-transport,Poids total soulevé,À partir du téléchargement,Distance ajustée selon la pente,Heure d'observation de la météo,Conditions météo,Température selon les prévisions météo,Température ressentie,Point de rosée,Humidité,Pression atmosphérique,Vitesse du vent,Rafale de vent,Direction du vent,Intensité des précipitations,Heure de lever du soleil,Heure de coucher du soleil,Phase de la lune,Vélo,Matériel,Probabilité de précipitations,Type de précipitations,Couverture nuageuse,Visibilité selon les prévisions météo,Indice UV,Ozone selon les prévisions météo,Nombre de sauts,Grit total,Flow moyen,Signalé,Vitesse moyenne (temps écoulé),Distance sur chemin,Distance récemment découverte,Distance sur chemin récemment découverte,Nombre d'activités,Nombre total de pas,CO2 économisé,Longueur de piscine,Charge d’entraînement,Intensité,Vitesse moyenne ajustée selon la pente,Temps enregistré par le chronomètre,Nombre total de cycles,Récupération,Avec mon animal de compagnie,Compétition,Sortie longue,Pour la bonne cause,Support
9699221029,22 août 2023 à 14:50:40,Sortie 22/08/23,Vélo,"",3400,"10,86",,,false,,VTT Nakamura ,activities/9699221029.gpx,,,3400.0,2586.0,10863.4,10.84,4.201,5.9,5.9,1.5,5.1,5.4,0.0,,,,,,,,103.0,297.0,,,,,,,,,4.0,,,,,0.0,28.0,0.0,,1.0,,,,,,,,,,,,,,,,13209266.0,,,,,,,,,,,0.0,3.195,5176.9,,,,,,,,,,,,,,,,,media/40d2e191-9103-4a05-b40b-666d346773f4.jpg
9706867658,23 août 2023 à 16:33:30,Balade 23/08/23,Vélo,"",3675,"6,59",,,false,,VTT Nakamura ,activities/9706867658.gpx,,,3675.0,1561.0,6593.6,9.974,4.224,8.7,8.7,2.1,6.5,5.4,0.0,,,,,,,,100.0,174.0,,,,,,,,,2.0,,,,,0.0,7.0,0.0,,1.0,,,,,,,,,,,,,,,,13209266.0,,,,,,,,,,,0.0,1.794,1995.0,,,,,,,,,,,,,,,,,""
9717045357,25 août 2023 à 08:46:15,Balade 25/08/23,Vélo,"",5219,"17,84",,,false,,VTT Nakamura ,activities/9717045357.gpx,,,5219.0,4006.0,17844.6,11.31,4.454,5.4,5.5,1.9,5.1,5.8,0.0,,,,,,,,111.0,498.0,,,,,,,,,4.0,,,,,0.0,44.0,0.0,,1.0,,,,,,,,,,,,,,,,13209266.0,,,,,,,,,,,0.0,3.419,6835.8,,,,,,,,,,,,,,,,,media/72f10f81-5d4a-4575-a59b-ee06738c2d2a.jpg
9735550917,28 août 2023 à 09:51:59,Balade 28/08/23,Vélo,"",2629,"2,90",,,false,,VTT Nakamura ,activities/9735550917.gpx,,,2629.0,727.0,2899.4,9.788,3.988,0.0,0.0,2.5,3.6,4.4,0.0,,,,,,,,114.0,92.0,,,,,,,,,1.0,,,,,0.0,1.0,0.0,,1.0,,,,,,,,,,,,,,,,13209266.0,,,,,,,,,,,0.0,1.103,39.5,,,,,,,,,,,,,,,,,""
9737003912,28 août 2023 à 12:38:50,Balade 28/08/23,Vélo,"",8600,"23,39",,,false,,VTT Nakamura ,activities/9737003912.gpx,,,8600.0,6283.0,23393.6,12.102,3.723,14.3,14.3,0.9,5.7,8.9,0.0,,,,,,,,96.0,670.0,,,,,,,,,5.0,,,,,0.0,113.0,0.0,,1.0,,,,,,,,,,,,,,,,13209266.0,,,,,,,,,,,0.0,2.72,7434.1,,,,,,,,,,,,,,,,,media/7ba3b987-4721-4e88-a833-2a63391ab96c.jpg
9741455500,29 août 2023 à 08:59:02,Balade 29/08/23,Vélo,"",2575,"9,76",,,false,,VTT Nakamura ,activities/9741455500.gpx,,,2575.0,1758.0,9766.7,9.67,5.556,2.4,2.4,2.5,5.1,5.2,0.0,,,,,,,,126.0,248.0,,,,,,,,,4.0,,,,,0.0,19.0,0.0,,1.0,,,,,,,,,,,,,,,,13209266.0,,,,,,,,,,,0.0,3.793,4490.3,,,,,,,,,,,,,,,,,""
9763002683,1 sept. 2023 à 15:36:06,Balade 01/09/23,Vélo,"",4006,"11,87",,,false,,VTT Nakamura ,activities/9763002683.gpx,,,4006.0,2313.0,11869.1,12.492,5.131,97.9,97.0,51.9,106.0,10.1,0.0,,,,,,,,118.0,304.0,,,,,,,,,7.0,,,,,0.0,73.0,0.0,,1.0,,,,,,,,,,,,,,,,13209266.0,,,,,,,,,,,0.0,2.963,6660.2,,,,,,,,,,,,,,,,,media/ff8ddc8d-9d90-47b1-9fdd-82468a67d39a.jpg
9776634072,3 sept. 2023 à 15:12:45,Balade 03/09/23,Vélo,"",3379,"14,24",,,false,,VTT Nakamura ,activities/9776634072.gpx,,,3379.0,2799.0,14246.8,14.802,5.09,124.5,123.7,51.3,106.0,11.5,0.0,,,,,,,,121.0,378.0,,,,,,,,,6.0,,,,,0.0,73.0,0.0,,1.0,,,,,,,,,,,,,,,,13209266.0,,,,,,,,,,,0.0,4.216,6175.4,,,,,,,,,,,,,,,,,media/e900fc3d-fd35-4c1f-a7dd-d7c53e397fcc.jpg
9797160497,6 sept. 2023 à 17:50:38,Balade 06/09/23 en soirée,Vélo,"",2372,"9,71",,,false,,VTT Nakamura ,activities/10502700561.fit.gz,,,2372.0,1730.0,9710.6,12.283,5.613,93.5,117.0,53.9,105.3,11.1,0.0,,,,,,,,,323.0,,,,,,,,,,,,,,0.0,,0.0,,1.0,,,,,,,,,,,,,,,,13209266.0,,,,,,,,,,,0.0,4.094,5286.2,,,,,,,,,,,,,,,,,""
9810103470,8 sept. 2023 à 18:12:41,Balade 08/09/23 en soirée,Vélo,"",3067,"12,53",,,false,,VTT Nakamura ,activities/10516318625.fit.gz,,,3067.0,2201.0,12537.8,11.238,5.696,79.5,149.0,35.8,105.3,45.5,-0.4,,,,,,,,,429.0,,,,,,,,,3.0,,,,,0.0,18.0,0.0,,1.0,,,,,,,,,,,,,,,,13209266.0,,,,,,,,,,,0.0,4.088,7168.1,,,,,,,,,,,,,,,,,media/fb0b528a-a829-486d-b2a5-7f461cb6bced.jpg
